Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q11,Q12a,Q12b,Q12c,Q12d,Q12e,Q13,Q14a,Q14b,Q14c,Q14d,Q14e,Q15,Q16a,Q16b,Q16c,Q16d,Q16e,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q21g,Q21h,Q21i,Q21j,Q22a,Q22b,Q22c,Q22d,Q22e,Q22f,Q22g,Q23a,Q23b,Q23c,Q23d,Q23e,Q23f,Q23g,Q23h,Q23i,Q23j,Q24a,Q24b,Q24c,Q24d,Q24e,Q24f,Q24g,Q24h,Q25a,Q25b,Q25c,Q25d,Q25e,Q25f,Q25g,Q25h,Q25i,Q25j,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35a,Q35b,Q35c,Q35d,Q36a,Q36b,Q36c,Q36d,Q36e,Q36f,Q36g,Q36h,Q36i,Q36j,Q37,Q38a_1,Q38b_1,Q38c_1,Q38d_1,Q38e_1,Q38f_1,Q38g_1,Q38h_1,Q38i_1,Q38j_1,Q38k_1,Q38l_1,Q38m_1,Q38n_1,Q38o_1,Q38p_1,Q38a_2,Q38b_2,Q38c_2,Q38d_2,Q38e_2,Q38f_2,Q38g_2,Q38h_2,Q38i_2,Q38j_2,Q38k_2,Q38l_2,Q38m_2,Q38n_2,Q38o_2,Q38p_2,SOURCE
Kenya,1,1,2,4,25,2,2,4,3,4,4,3,5,4,4,4,3,3,4,0,0,1,0,0,3,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,4,3,3,4,3,3,1,1,2,1,1,1,1,1,1,1,4,1,6,7,1,1,6,10,3,5,3,3,3,2,1,2,1,3,1,2,2,3,2,2,2,2,2,2,5,3,,1,2,,2,,4,3,4,3,4,4,5,4,3,5,5,5,5,5,1,3,5,1,1,5,3,3,1,4,1,1,1,5,1,5,5,5,2,5,5,1,3,2,5,4,5,5,5,5,5,1,2,en
Italy,2,1,2,3,24,2,2,4,5,,3,,2,,,,,,,0,0,1,0,0,1,,,5,5,5,5,4,,4,4,3,3,,,3,3,4,1,5,3,5,1,4,3,5,5,5,5,5,5,5,5,1,4,1,1,1,1,2,2,1,6,2,4,1,1,3,1,1,1,2,3,1,1,1,1,1,1,1,1,3,1,4,4,5,3,1,5,3,5,5,5,2,5,3,5,1,5,1,5,2,4,1,2,,1,,4,5,4,3,5,5,5,5,5,5,,,5,,2,4,1,5,4,3,2,5,1,3,1,2,1,1,1,3,1,5,1,5,5,1,5,5,5,3,1,5,5,1,1,1,1,it
Ecuador,1,1,1,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,6,3,3,3,1,1,6,1,1,1,1,1,1,1,1,4,5,4,,2,3,2,4,1,1,3,1,5,5,4,5,5,5,4,1,5,5,5,1,2,,2,,2,3,3,2,5,,,5,,,,,,,,5,4,5,5,1,4,1,1,1,1,1,1,1,1,1,3,4,5,5,5,5,4,1,1,1,1,2,1,3,3,4,3,es
Ghana,1,1,2,3,21,2,2,,,2,1,,4,,,1,2,,4,0,0,0,0,1,5,2,1,3,1,4,1,1,1,1,1,2,3,,,3,4,2,,5,1,5,1,1,4,1,5,5,5,1,5,5,5,5,5,4,5,1,3,3,4,1,4,2,6,2,1,2,1,1,1,1,1,1,3,3,1,1,1,1,5,5,1,1,1,1,1,3,1,2,,,2,3,,,1,2,,2,2,3,,1,1,1,2,,4,1,4,3,5,4,4,4,4,4,4,4,5,3,1,4,2,5,2,2,4,3,2,1,1,3,1,4,1,2,2,4,1,5,4,5,4,3,4,1,4,5,5,2,1,3,2,en
Italy,1,1,2,2,24,2,2,2,2,1,,3,1,2,2,2,,3,1,0,0,0,0,1,3,4,2,3,3,3,3,2,2,,3,2,3,3,,,4,,,4,2,4,2,2,2,4,5,5,5,1,5,2,5,3,4,4,4,2,4,5,4,3,4,2,4,1,3,4,2,1,2,4,1,3,1,6,1,3,1,1,1,2,3,4,3,4,3,3,3,4,3,3,4,3,2,2,4,1,4,2,2,5,,1,2,,2,,2,3,2,3,2,4,4,3,5,3,5,4,4,5,2,4,4,1,1,1,2,1,1,1,1,1,1,4,3,5,5,4,1,4,3,1,2,1,1,1,1,5,4,2,1,4,3,en
Ecuador,1,1,1,3,23,2,2,,,,,,1,,,,,,1,0,0,0,0,1,5,,,,,,3,,,,4,,,,,4,5,,5,,,,,,,3,5,5,4,5,3,1,5,3,3,5,5,1,5,5,5,5,6,3,3,6,3,1,1,1,1,6,4,12,12,12,12,,12,4,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
Guatemala,1,2,2,1,52,2,2,2,2,,,,,,,,,,1,1,0,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,5,4,5,1,2,4,4,3,4,4,3,4,3,4,4,4,3,3,1,3,3,3,3,1,6,2,1,3,3,1,3,3,1,4,3,2,3,3,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
,1,2,1,1,,2,2,3,,,,5,1,5,,4,,,1,1,0,1,1,0,4,5,5,5,5,5,4,4,,,3,3,3,3,3,3,3,,3,5,1,5,2,3,4,5,5,5,5,1,5,5,4,3,3,5,3,3,5,4,4,4,4,1,3,6,1,3,2,1,1,6,1,3,1,1,1,3,1,1,3,2,2,5,2,4,4,2,3,3,4,2,4,3,5,4,3,3,3,3,5,1,3,1,2,,2,,4,4,3,3,5,5,3,3,3,3,3,3,3,2,2,3,4,3,2,3,2,4,5,3,1,4,1,3,1,3,5,4,2,1,1,1,2,2,5,1,5,5,5,3,1,2,2,es
United States of America,1,1,1,2,21,2,2,3,3,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Turkey,1,1,1,3,22,1,2,3,3,2,2,2,1,2,2,3,2,2,1,0,0,1,0,0,4,3,4,3,2,4,4,3,2,3,2,2,2,2,2,2,2,3,2,4,4,2,3,3,4,5,5,5,5,2,4,1,3,5,5,5,5,5,5,5,5,5,5,5,6,1,1,1,3,2,2,6,12,3,3,3,3,12,3,12,1,1,1,5,4,5,4,1,5,5,5,5,5,5,5,5,5,3,5,5,4,5,,1,1,4,2,,1,3,1,1,3,4,4,,2,3,4,4,2,2,2,5,5,5,2,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,en
Romania,1,1,1,2,,2,2,5,3,,4,5,1,5,4,5,5,5,1,1,0,0,1,0,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,5,6,5,4,6,6,1,1,3,1,1,1,1,3,5,5,3,1,2,1,3,3,1,4,1,2,3,4,5,3,4,1,4,1,2,1,4,1,2,,1,1,5,5,4,5,4,5,5,,5,5,5,5,5,,1,5,5,3,5,2,5,5,1,3,2,1,1,3,2,5,4,5,2,5,5,1,3,3,5,1,5,5,5,5,5,5,4,ro
Malta,1,1,1,2,18,2,2,4,5,2,5,4,1,5,5,,3,,1,0,0,1,0,0,3,5,3,5,4,3,5,4,5,4,5,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Egypt,1,1,1,3,23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Ecuador,1,1,1,4,,2,2,4,3,2,4,2,1,4,3,2,4,2,1,1,0,1,1,0,1,3,2,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
Ghana,1,1,1,3,22,2,2,1,,3,3,,4,,,3,3,,4,0,0,0,0,1,5,3,1,,4,3,1,2,,,1,2,1,1,,3,4,1,1,3,1,5,2,1,1,5,1,5,1,1,5,1,5,5,5,4,4,1,1,4,1,1,6,4,6,4,6,4,1,1,2,4,1,3,3,3,3,3,1,4,3,5,2,3,2,4,1,2,1,4,3,2,2,2,1,3,1,1,1,1,1,,,1,1,,1,,5,2,4,1,4,2,2,4,5,1,,4,4,2,1,4,2,3,4,4,2,2,1,1,1,1,1,4,1,3,4,3,2,4,4,3,3,3,2,1,3,1,3,4,1,2,3,en
Germany,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,3,4,5,2,2,1,6,1,3,6,3,1,3,1,1,4,5,4,1,2,1,2,3,1,3,4,2,2,4,2,5,4,1,3,1,3,3,3,1,2,,2,,2,3,3,3,2,2,2,2,5,2,2,4,1,2,2,3,3,1,2,4,3,3,1,1,2,2,1,4,2,4,4,5,1,5,5,1,3,3,2,1,5,5,5,4,2,4,5,en
Poland,1,1,1,4,20,2,2,4,3,3,4,2,4,5,4,3,4,3,4,0,0,1,1,0,3,3,3,3,4,2,5,3,3,3,3,3,3,,,,,3,,4,3,4,4,3,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,6,3,3,6,4,3,3,1,1,1,1,3,6,1,1,3,1,1,4,5,3,3,2,2,1,3,2,1,1,2,2,3,3,2,3,1,1,1,2,5,,1,2,,2,,4,4,3,4,,4,4,4,4,4,4,4,4,4,2,4,4,2,4,3,1,4,3,3,1,1,1,3,1,3,5,5,2,5,1,1,1,2,5,2,3,5,5,4,1,3,2,en
Poland,1,1,1,4,22,2,2,3,3,3,4,3,4,4,4,4,4,3,4,0,0,1,0,0,3,4,2,3,3,2,5,3,3,3,2,3,,,,,3,,,4,3,3,3,3,3,5,5,5,5,3,5,5,5,5,2,3,3,3,4,3,3,,4,1,4,1,1,4,4,1,1,4,1,1,6,6,1,1,1,10,3,3,2,5,5,5,2,4,2,3,2,2,5,5,4,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Poland,1,1,1,3,24,2,2,2,2,2,3,3,4,,,,,,,0,0,0,0,1,5,4,2,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,3,2,4,4,4,2,4,4,2,5,3,2,4,4,4,4,4,4,4,6,4,5,6,3,5,2,1,1,1,1,3,6,,3,3,,3,3,2,3,4,4,3,1,2,4,3,1,1,2,3,2,3,2,2,3,2,4,1,5,,1,2,2,,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,2,2,3,2,2,1,1,3,1,3,4,4,3,3,3,3,2,2,3,2,2,1,4,3,1,3,3,en
Portugal,1,1,1,3,20,1,2,2,4,,,2,1,2,4,2,,,1,0,0,0,0,1,5,1,1,2,3,2,3,2,2,,2,2,2,,2,,3,,,5,1,5,2,4,3,2,5,5,5,5,5,5,5,5,2,5,5,5,5,4,5,4,5,1,5,6,1,4,2,1,1,6,1,,3,3,,,,,3,3,3,3,3,2,3,3,2,4,3,2,2,2,4,2,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Turkey,1,1,1,1,,2,2,,5,4,3,,4,3,5,,3,,4,0,0,0,0,1,5,2,1,2,3,4,5,4,4,,4,3,3,3,3,5,3,3,3,5,3,2,3,4,2,3,4,4,4,1,3,2,5,3,5,5,4,3,3,5,3,3,4,2,3,2,4,3,2,2,1,6,1,1,3,7,1,1,7,1,1,2,1,5,5,5,1,1,2,5,3,4,5,5,5,1,5,5,4,5,4,5,,2,2,,1,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,5,3,1,4,3,2,5,3,3,2,2,1,4,4,4,3,5,2,5,5,5,4,3,3,3,5,4,5,4,4,3,2,tr
Mexico,1,1,1,3,23,4,2,2,3,4,2,2,4,4,2,2,2,2,4,1,0,1,0,0,1,3,1,2,2,2,4,2,2,1,2,2,2,2,3,5,2,4,4,5,2,5,2,3,4,3,3,4,2,3,3,4,4,3,3,3,3,3,3,4,2,3,6,3,6,4,3,4,3,1,1,6,3,3,3,3,1,3,3,3,2,2,1,4,4,4,3,2,3,3,2,2,4,3,3,2,4,3,1,1,3,3,,1,1,1,1,,3,3,3,4,3,4,2,2,4,5,5,5,3,5,2,3,4,3,2,5,4,3,1,3,3,1,2,3,1,4,3,5,2,5,4,2,4,3,1,3,3,5,5,3,2,4,2,es
Indonesia,2,1,,4,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Malta,1,1,3,3,20,2,2,4,4,4,3,3,3,4,,4,3,,3,0,0,0,0,1,3,5,2,1,1,3,5,1,2,,,,,,,,3,2,,2,1,5,1,3,4,5,5,5,5,3,5,5,5,5,4,5,4,3,5,5,5,3,6,2,2,6,1,2,1,1,1,6,1,1,1,1,1,1,1,1,1,2,1,5,3,5,4,1,4,5,4,5,5,2,1,4,1,3,1,2,1,5,,1,2,,2,,2,3,,3,2,,,,2,5,4,,,,2,4,1,5,4,3,4,2,1,4,4,2,1,2,1,3,3,5,1,5,5,1,5,3,5,1,5,5,4,1,1,5,2,en
Pakistan,1,1,3,4,23,2,2,,,3,,,3,,,3,,,3,0,1,1,0,0,1,4,2,3,3,1,4,3,2,2,3,2,2,2,2,2,2,2,2,5,1,5,1,1,1,2,1,4,3,1,4,1,2,2,3,3,2,3,3,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,7,6,12,1,6,1,2,2,1,2,2,2,2,2,3,4,1,1,4,2,2,1,4,3,4,2,2,5,,1,1,1,1,1,3,3,4,3,5,4,4,4,4,4,4,4,4,4,2,3,2,3,3,5,1,3,2,3,1,3,1,3,1,1,4,4,1,5,4,3,2,1,4,3,4,5,4,3,1,1,1,en
Chile,1,1,1,3,26,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
Chile,1,1,1,3,28,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,4,2,1,1,2,2,2,1,2,1,2,1,1,5,1,3,1,1,2,2,1,5,5,4,5,5,2,3,1,4,3,3,3,4,3,3,5,1,6,6,4,6,2,1,1,6,1,1,6,6,1,1,1,1,2,2,3,4,4,4,2,2,4,5,5,5,5,5,5,5,5,5,5,2,5,5,,1,1,,2,,1,2,1,3,5,5,5,5,5,5,5,5,5,5,2,4,3,3,2,1,2,3,1,4,2,2,1,4,1,2,3,4,1,5,3,5,2,3,1,3,4,5,5,4,1,1,1,es
Mozambique,1,1,1,2,35,2,2,,,,,3,5,,,,,,5,0,0,0,1,0,4,5,2,2,2,1,1,1,1,1,2,2,2,2,2,3,2,3,2,5,1,2,1,1,1,1,3,4,3,1,1,1,3,1,1,3,3,1,1,1,1,1,3,3,3,5,1,1,1,1,1,6,1,3,1,5,3,3,2,1,1,4,1,3,4,2,3,2,2,3,2,2,2,3,3,3,4,2,2,2,5,3,5,2,2,,2,,2,3,3,3,3,,,,3,4,2,,1,3,2,4,1,2,3,3,1,4,2,3,2,3,1,2,1,1,5,4,1,1,2,1,2,1,2,5,5,5,5,1,1,2,1,pt
Chile,1,2,1,2,,2,2,3,3,,3,2,1,,,,,,,1,0,0,1,0,4,4,,3,3,2,5,3,,3,3,,,,,,,3,,5,2,1,4,3,,2,5,4,3,2,2,3,5,3,3,4,3,3,3,3,3,2,3,1,4,6,3,3,4,1,1,6,1,,,,1,,,,3,2,2,4,4,5,2,1,3,4,3,4,3,5,5,4,2,2,2,2,3,3,4,1,1,1,2,,2,2,,3,,,,,,,,2,,,2,3,4,2,2,2,3,1,1,1,1,1,1,3,3,2,4,5,2,5,4,4,3,3,5,1,1,5,5,3,3,1,2,es
Ecuador,1,1,1,3,,1,2,,4,4,,2,1,,,,,4,1,1,0,0,0,0,1,,,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
Kuwait,1,1,1,1,18,2,2,,,,,,5,,,,,,5,0,0,0,0,1,5,,,,,,3,,,,,,,,,,,,,,,,,,,3,5,5,5,5,5,1,5,5,4,3,4,3,3,2,3,3,2,1,6,1,1,1,1,1,1,6,1,12,3,1,12,1,12,3,4,3,4,2,4,4,1,2,3,3,2,2,3,3,1,1,1,3,3,4,1,5,,1,2,,1,1,5,1,3,5,1,1,1,1,1,1,1,1,1,1,2,5,4,2,1,3,1,3,1,3,1,5,1,4,5,4,5,5,1,5,2,1,5,1,1,1,1,5,5,2,3,4,1,en
Malta,1,2,3,1,53,1,2,5,,,,5,1,5,,,,5,1,1,0,0,0,0,1,4,4,4,4,4,2,5,5,5,3,5,3,3,,,5,4,,1,4,1,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,5,1,1,3,1,4,3,2,4,4,1,1,1,3,1,3,1,2,,1,1,4,5,2,5,5,3,3,3,4,4,4,5,5,4,2,2,1,4,5,5,3,3,1,1,1,5,1,5,3,3,3,4,1,5,3,1,4,1,5,1,5,5,5,5,5,3,1,en
Turkey,1,1,1,2,21,2,2,3,3,3,2,3,1,5,3,2,2,2,1,0,0,1,0,0,3,3,3,4,4,3,2,2,2,4,2,3,3,2,3,3,4,3,3,4,3,2,4,3,2,4,5,5,4,1,5,4,5,2,2,3,3,3,4,4,3,3,2,2,1,4,4,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,2,4,4,4,3,3,3,2,4,4,2,3,3,2,3,4,1,2,4,3,,1,2,,1,,4,4,3,2,5,5,5,4,5,,3,4,4,3,1,5,3,1,4,3,3,5,2,3,3,1,1,3,1,3,4,5,1,5,2,3,3,4,5,3,4,4,5,2,1,2,2,en
Kenya,1,2,2,2,,1,2,,,,5,5,5,,,,5,5,4,0,0,0,0,1,3,5,3,2,4,1,3,5,5,4,4,4,2,2,2,2,5,2,2,4,2,3,2,3,2,3,2,3,1,1,1,1,4,3,5,4,4,2,2,4,2,2,6,3,6,,5,3,2,2,3,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Poland,1,1,1,4,21,2,2,5,5,5,5,5,4,5,5,5,5,5,1,1,0,1,0,0,3,5,4,4,3,3,4,5,4,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Chile,1,1,1,3,26,1,2,2,1,3,4,4,1,5,,,4,5,1,1,0,0,0,0,1,4,3,5,5,5,5,4,4,4,5,,4,5,,,,,5,5,2,5,3,1,3,3,1,5,4,5,5,5,4,5,3,5,4,3,5,5,5,5,1,1,5,1,2,5,3,2,1,6,1,,6,6,6,6,6,6,3,5,4,4,5,3,2,3,1,5,4,4,1,1,3,1,5,1,4,4,5,5,4,1,2,,1,4,1,4,3,5,2,1,1,1,1,5,1,1,1,1,2,4,1,2,1,5,4,1,1,1,1,1,1,1,1,4,2,4,1,5,5,1,4,1,2,1,1,1,5,1,1,3,1,es
Kyrgyzstan,1,1,1,3,19,1,2,4,4,4,4,3,3,4,4,4,4,4,3,0,1,0,1,0,4,,3,3,3,3,4,4,3,4,3,3,3,2,2,,2,3,3,3,3,3,3,3,3,2,3,2,4,2,2,2,2,2,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,4,3,5,3,2,3,3,4,2,2,2,3,3,2,2,2,1,3,3,3,3,3,2,3,3,3,2,2,3,3,2,5,4,3,2,,2,,1,1,3,3,4,4,4,3,2,3,3,2,4,4,2,4,4,3,1,3,3,2,1,1,3,3,3,2,3,2,2,4,3,3,2,2,3,,3,2,3,3,2,3,3,3,2,en
Poland,1,1,1,4,20,1,2,4,,,2,4,1,3,,,2,3,4,1,1,1,0,0,1,3,3,3,3,1,2,3,2,,3,3,3,3,3,3,3,3,3,4,1,4,2,1,1,5,5,4,3,2,4,3,5,1,2,3,3,3,4,4,3,3,6,2,1,2,1,4,3,1,1,2,1,12,6,12,1,12,12,1,1,3,1,4,2,4,4,1,4,3,2,5,3,3,3,5,2,3,2,3,5,3,1,1,2,,2,,3,3,3,3,,,,,,,,,,,1,3,3,1,2,4,3,3,2,3,1,3,1,3,3,4,4,4,1,5,4,1,1,1,5,3,1,5,4,1,4,1,1,en
Hungary,1,1,1,3,23,2,2,5,,3,4,3,4,4,,4,4,4,4,0,0,0,0,1,5,4,3,,4,3,5,3,,,4,,,,,,3,,,3,3,3,4,4,2,5,5,5,5,1,5,5,5,5,5,5,4,3,4,5,4,3,5,2,6,6,1,2,2,1,1,1,4,1,3,1,1,3,6,3,3,3,3,4,4,5,1,4,4,2,1,3,4,2,2,1,2,3,4,2,3,1,5,,1,1,2,,4,4,5,3,3,3,3,4,5,4,2,4,5,5,2,4,4,3,2,1,2,3,2,2,2,3,1,3,1,3,4,4,1,5,4,5,2,4,5,2,5,5,4,3,2,3,2,en
United Arab Emirates,2,2,2,3,28,1,2,4,,,,4,1,4,,,,,1,0,0,0,0,1,1,4,3,4,5,4,4,4,,,4,,,,,4,,,,2,2,2,4,4,4,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Indonesia,1,1,1,2,19,2,2,,3,3,3,3,5,,,,,3,5,0,0,0,0,1,5,4,3,3,3,3,3,3,,,4,4,4,4,4,3,4,,,4,3,3,4,3,3,3,2,2,3,2,3,3,3,2,1,3,3,2,2,3,3,3,1,4,6,1,1,1,1,1,1,2,1,3,3,3,1,1,3,1,3,2,2,3,3,3,3,2,3,4,2,2,3,3,5,5,1,1,1,1,5,3,4,1,2,,2,,3,4,3,4,3,2,4,4,,4,4,4,4,3,2,3,2,2,4,3,4,3,4,2,4,3,2,4,3,2,3,3,2,2,4,2,3,3,3,2,5,5,3,3,1,2,2,en
Saudi Arabia,1,1,3,4,37,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,7,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Libya,1,1,1,3,20,1,2,,,,,,,,,,,,,0,0,0,0,1,5,,,,,,4,1,,,1,1,1,1,1,1,1,1,1,5,,,,,,5,1,1,1,1,5,1,5,1,1,4,4,4,4,4,4,4,6,1,1,1,1,1,1,1,1,1,1,3,3,6,3,12,6,6,1,1,1,1,5,1,1,5,5,5,5,5,5,,5,4,3,3,3,5,4,1,1,1,1,3,2,,1,1,1,1,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,1,5,1,5,1,5,5,5,5,5,5,5,,5,5,5,1,5,1,5,1,5,5,en
Argentina,1,1,1,1,,2,2,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
Poland,1,1,1,3,21,2,2,4,4,,2,,1,2,,,1,,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
South Africa,1,1,1,2,34,2,2,1,1,1,2,2,5,1,1,2,2,4,5,0,0,0,1,0,4,2,2,2,2,2,3,2,2,2,4,2,4,4,3,5,2,4,4,4,2,4,2,2,4,3,1,1,1,1,1,1,1,1,3,2,2,4,2,4,1,4,4,4,1,1,3,1,1,1,1,6,12,1,7,3,3,3,1,1,3,5,1,3,1,1,1,5,1,1,1,2,2,3,4,2,4,5,2,2,4,,,1,1,1,1,1,4,4,4,1,1,5,4,1,4,4,,,4,,1,5,3,4,5,5,3,5,4,2,3,1,1,3,1,1,3,5,1,4,5,1,3,3,1,1,5,,1,1,1,1,1,en
,,,,,,,2,4,4,4,4,4,3,4,2,4,4,4,3,0,0,1,1,0,4,4,4,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Italy,1,1,1,2,40,2,2,4,,4,4,4,3,,,,,,5,1,0,0,0,0,1,4,,4,4,4,3,4,,,4,4,3,3,3,3,3,3,3,2,4,2,4,4,3,3,5,5,5,1,5,5,4,4,4,4,4,4,4,4,4,4,6,4,3,6,1,5,1,1,1,6,1,3,6,3,1,3,3,4,4,4,3,2,3,2,1,3,1,1,1,1,3,2,4,4,3,2,2,2,4,1,3,2,1,1,2,,4,4,3,4,4,3,3,3,4,3,4,4,4,4,2,3,4,4,2,3,3,2,3,3,1,1,1,3,1,1,3,5,1,4,4,1,3,2,5,4,2,1,5,3,2,1,3,it
